frame,obs,max_x,min_x,max_y,min_y,max_z,min_z
000001,0,57.256,57.013,16.982,16.163,-1.04,-1.347
000002,0,34.794,32.737,-2.48,-3.714,-0.707,-1.74
000004,0,38.585,36.488,16.574,15.161,-0.666,-1.653
000004,1,50.44,49.755,16.749,15.462,-0.892,-1.165
000006,0,48.175,46.894,3.053,2.303,0.132,-0.453
000006,1,32.794,29.791,4.046,1.837,0.304,-1.062
000006,2,20.726,18.437,14.336,10.854,-0.277,-1.548
000006,3,37.549,36.479,13.783,12.332,-0.609,-1.059
000008,0,5.322,2.226,3.925,1.543,-0.156,-1.722
000008,1,9.747,6.311,2.388,0.034,-0.065,-1.604
000008,2,7.979,4.861,-2.787,-4.53,-0.364,-1.622
000008,3,15.874,12.854,0.163,-2.174,-0.088,-1.389
000008,4,33.806,31.652,-5.855,-7.129,0.316,-1.07
000008,5,20.877,18.919,-7.411,-8.702,-0.232,-1.499
000015,0,6.304,2.27,3.844,1.692,-0.233,-1.75
000019,0,11.835,8.269,-2.03,-3.522,-0.186,-1.553
000019,1,58.268,57.958,4.599,3.572,-1.013,-1.665
000020,0,17.489,13.692,-1.793,-3.44,-0.183,-1.415
000021,0,15.399,11.678,4.108,2.149,-0.091,-1.443
000021,1,19.918,15.871,3.292,1.634,0.266,-1.365
000021,2,27.538,24.349,-4.359,-5.758,0.166,-1.08
000021,3,28.432,25.177,2.105,1.085,0.295,-1.076
000021,4,33.764,30.311,-4.741,-6.067,0.524,-0.883
000021,5,33.099,30.853,0.968,0.771,0.306,-0.227
000023,0,54.078,53.596,17.398,16.092,-0.972,-1.263
000024,0,37.87,34.69,4.742,2.446,0.565,-0.595
000024,1,39.418,36.718,9.08,6.972,0.33,-0.643
000024,2,51.376,50.636,12.529,11.568,1.01,0.126
000025,0,4.895,1.875,-1.629,-3.044,-0.319,-1.701
000025,1,12.425,8.859,3.163,1.375,-0.196,-1.54
000025,2,30.294,28.481,1.82,0.477,-0.033,-1.258
000025,3,18.959,16.522,-2.787,-4.195,-0.242,-1.565
000025,4,23.272,21.103,-3.119,-3.737,-0.368,-1.555
000027,0,72.963,72.692,1.91,1.108,-0.814,-0.817
000031,0,14.384,10.556,4.072,2.405,-0.113,-1.677
000031,1,10.274,7.227,-2.429,-3.894,-0.119,-1.557
000031,2,15.178,11.7,-2.017,-3.56,-0.21,-1.532
000031,3,27.79,24.865,-1.803,-3.234,-0.164,-1.372
000033,0,63.472,63.273,2.401,1.306,-0.293,-0.295
000033,1,12.186,8.609,7.978,6.346,-0.204,-1.659
000035,0,46.037,45.175,1.583,0.159,0.136,-0.996
000035,1,17.551,14.335,3.737,2.251,-0.005,-1.538
000035,2,28.397,26.084,13.419,11.986,-0.222,-1.711
000037,0,20.467,17.795,1.44,-0.31,0.059,-1.372
000037,1,25.457,22.593,3.448,2.807,-0.118,-1.258
000039,0,9.525,5.286,3.548,1.883,-0.216,-1.694
000039,1,18.462,15.179,-1.769,-3.24,-0.22,-1.54
000039,2,34.383,31.947,3.503,2.074,-0.066,-1.257
000039,3,31.22,27.86,-1.725,-3.278,-0.213,-1.408
000039,4,48.142,47.616,2.612,2.011,-0.469,-1.044
000039,5,48.092,47.844,-2.147,-3.042,-0.466,-1.048
000040,0,37.102,33.794,6.606,4.975,-0.084,-1.14
000042,0,43.523,42.956,2.042,0.698,-0.136,-0.917
000047,0,27.662,24.915,1.368,-0.312,0.166,-1.247
000047,1,12.645,9.149,9.167,7.674,-0.213,-1.668
000047,2,14.54,10.341,5.631,3.832,0.188,-1.575
000047,4,25.136,23.441,5.841,4.348,-0.134,-1.334
000047,5,47.101,46.208,4.859,4.174,0.355,-1.029
000047,6,19.964,17.438,12.367,11.986,-0.476,-1.495
000047,7,25.006,24.125,13.867,12.36,-0.013,-1.549
000050,0,16.95,12.898,-1.603,-3.211,0.008,-1.341
000050,1,12.094,7.986,3.842,2.306,-0.111,-1.485
000050,2,4.604,0.764,-1.777,-3.356,-0.107,-1.583
000050,3,32.921,30.331,-1.382,-2.669,0.157,-1.001
000052,0,21.79,17.994,-2.944,-4.516,-0.321,-1.443
000052,1,22.647,19.404,-0.34,-2.141,-0.1,-1.248
000052,2,33.864,32.619,13.289,9.793,-0.068,-1.347
000052,3,53.22,52.236,40.833,39.881,-1.18,-1.545
000052,4,18.567,15.971,9.237,5.651,-0.508,-1.787
000053,0,10.282,6.476,3.871,2.389,-0.081,-1.569
000053,1,16.131,12.684,-2.068,-3.676,-0.317,-1.557
000053,2,21.397,19.076,4.36,2.919,-0.089,-1.271
000053,3,29.493,27.445,4.235,2.858,0.161,-1.028
000053,4,31.2,27.765,-1.861,-3.395,-0.874,-1.22
000053,5,36.835,36.537,3.198,2.857,-0.566,-0.971
000059,0,31.597,28.514,2.306,0.697,-0.2,-1.079
000059,1,40.946,40.383,5.582,4.315,-0.364,-1.117
000059,2,22.404,20.838,-10.938,-14.091,-0.75,-1.842
000059,3,24.39,22.554,-17.107,-21.096,-1.007,-2.052
000061,0,12.658,9.394,11.345,8.315,-0.644,-2.021
